movieid,isEnglish,country,runningtime,title,year
1804484,T,UK,1,Carmen Miranda: Bananas Is My Business (1995),1995
1804630,T,USA,2,Carnal Knowledge (1971),1971
1804779,F,France,2,Carne trémula (1997),1997
1804898,T,USA,1,Carnival of Souls (1962),1962
1804923,T,USA,1,Carnosaur (1993),1993
1804924,T,USA,1,Carnosaur 2 (1995),1995
1804925,T,USA,1,Carnosaur 3: Primal Species (1996),1996
1804947,F,other,2,Caro diario (1993),1993
1805163,T,USA,1,Carpool (1996),1996
1805225,T,USA,2,Carrie (1976),1976
1805246,T,USA,2,Carried Away (1996),1996
1805273,T,UK,3,Carrington (1995),1995
1805799,T,USA,2,Casablanca (1942),1942
1806151,T,USA,3,Casino (1995),1995
1806217,T,USA,2,Casper (1995),1995
1806794,T,USA,2,Cat Ballou (1965),1965
1806845,T,USA,3,Cat People (1982),1982
1806896,T,USA,2,Cat on a Hot Tin Roof (1958),1958
1806914,T,USA,1,Cat's Eye (1985),1985
1806940,T,other,1,CatWalk (2010),2010
1807303,T,USA,3,Catfish in Black Bean Sauce (1999),1999
1807444,T,USA,1,Cats Don't Dance (1997),1997
1807562,T,USA,3,Caught (1996),1996
1807604,T,USA,2,Caught Up (1998),1998
1807863,T,USA,3,Cavalcade (1933),1933
1808298,T,France,1,Cecil B. DeMented (2000),2000
1808524,T,USA,3,Celebrity (1998),1998
1808813,T,USA,1,Celtic Pride (1996),1996
1809047,T,USA,3,Center Stage (2000),2000
1809149,F,other,3,Central do Brasil (1998),1998
1809197,T,UK,3,Century (1993),1993
1809431,T,other,2,Cerro Torre: Schrei aus Stein (1991),1991
1809724,F,France,3,Ceux qui m'aiment prendront le train (1998),1998
1809864,F,France,1,Chacun cherche son chat (1996),1996
1809984,T,USA,2,Chain Reaction (1996),1996
1809998,T,USA,2,Chain of Fools (2000),2000
1810092,T,USA,1,Chairman of the Board (1998),1998
1810470,T,UK,2,Champagne (1928),1928
1811382,F,other,2,Chao ji ji hua (1993),1993
1811626,T,USA,3,Charade (1963),1963
1811722,T,UK,3,Chariots of Fire (1981),1981
1812202,T,USA,1,"Charlie, the Lonesome Cougar (1967)",1967
1812255,T,USA,1,Charlotte's Web (1973),1973
1812339,F,other,1,Charms Zwischenfälle (1996),1996
1812450,T,USA,2,Chasers (1994),1994
1812490,T,USA,3,Chasing Amy (1997),1997
1813663,T,USA,1,Cheetah (1989),1989
1815267,T,UK,1,Chicken Run (2000),2000
1815901,T,USA,1,Child's Play (1988),1988
1815914,T,USA,1,Child's Play 2 (1990),1990
1815915,T,UK,1,Child's Play 3 (1991),1991
1816153,T,USA,3,Children of a Lesser God (1986),1986
1816171,T,USA,1,Children of the Corn (1984),1984
1816175,T,USA,1,Children of the Corn II: The Final Sacrifice (1992),1992
1816176,T,USA,1,Children of the Corn III: Urban Harvest (1995),1995
1816182,T,UK,1,Children of the Damned (1964),1964
1816238,T,other,2,Children of the Revolution (1996),1996
1816379,T,USA,2,Chill Factor (1999),1999
1816691,T,USA,3,Chinatown (1974),1974
1816742,T,France,2,Chinese Box (1997),1997
1817535,T,USA,1,Choices (1981),1981
1817898,T,USA,1,Chopping Mall (1986),1986
1818342,T,USA,3,Christine (1983),1983
1818562,T,USA,2,Christmas Vacation (1989),1989
1819155,T,USA,2,Chuck & Buck (2000),2000
1819411,F,other,2,Chung Hing sam lam (1994),1994
1819870,F,other,3,Chûshingura (1962),1962
1820147,F,other,2,Cienie (1988),1988
1820288,T,USA,3,Cimarron (1931),1931
1820400,T,USA,1,Cinderella (1950),1950
1821008,T,other,2,Circle of Friends (1995),1995
1821229,T,UK,1,Circus (2000),2000
1821599,T,USA,3,Citizen Kane (1941),1941
1821619,T,USA,2,Citizen Ruth (1996),1996
1821739,T,USA,3,City Hall (1996),1996
1821769,T,USA,1,City Lights (1931),1931
1821807,T,USA,3,City Slickers II: The Legend of Curly's Gold (1994),1994
1821852,T,other,3,City of Angels (1998),1998
1821917,T,USA,2,City of Industry (1997),1997
1822415,T,USA,2,Clara's Heart (1988),1988
1822607,T,USA,2,Class (1983),1983
1822639,T,USA,1,Class Reunion (1982),1982
1822675,T,USA,2,Class of Nuke 'Em High (1986),1986
1823008,T,other,2,Clay Pigeons (1998),1998
1823101,T,USA,2,Clean Slate (1994),1994
1823223,T,USA,3,Clear and Present Danger (1994),1994
1823361,T,USA,2,Clerks. (1994),1994
1823486,T,other,3,Cliffhanger (1993),1993
1823740,T,USA,3,Clockers (1995),1995
1823753,T,UK,2,Clockwatchers (1997),1997
1823865,T,USA,3,Close Encounters of the Third Kind (1977),1977
1824605,T,USA,1,Clubland (1999),1999
1824615,T,USA,2,Clue (1985),1985
1824623,T,USA,2,Clueless (1995),1995
1824685,F,France,1,Cléo de 5 à 7 (1962),1962
1824923,T,USA,3,Cobb (1994),1994
1824929,T,USA,1,Cobra (1925),1925
1825343,T,USA,3,Cocoon (1985),1985
1825348,T,USA,3,Cocoon: The Return (1988),1988
1826286,T,USA,1,Coldblooded (1995),1995
1826962,T,USA,1,Color Me Blood Red (1965),1965
1827008,T,USA,3,Color of Night (1994),1994
1827432,T,USA,3,Coma (1978),1978
1827800,T,USA,3,Come See the Paradise (1990),1990
1828055,F,other,3,Comedian Harmonists (1997),1997
1828413,T,USA,3,Coming Apart (1969),1969
1828447,T,USA,3,Coming Home (1978),1978
1828716,T,USA,1,Commandments (1997),1997
1829030,T,USA,1,Committed (1984),1984
1829152,T,USA,2,Communion (1976),1976
1829153,T,USA,2,Communion (1989),1989
1829283,F,other,3,Como agua para chocolate (1992),1992
1829882,T,USA,3,Con Air (1997),1997
1830096,T,USA,3,Conan the Barbarian (1982),1982
1830116,T,USA,1,Conceiving Ada (1997),1997
1830497,T,other,1,Condition Red (1995),1995
1830509,T,USA,0,Condo Painting (2000),2000
1830531,T,UK,1,Condorman (1981),1981
1830564,T,USA,1,Coneheads (1993),1993
1831084,T,USA,2,Congo (1995),1995
1831363,T,USA,1,Conquest of the Planet of the Apes (1972),1972
1831593,T,USA,3,Conspiracy Theory (1997),1997
1831790,T,USA,3,Contact (1997),1997
1831904,F,France,3,Conte d'automne (1998),1998
1832668,T,USA,1,Coogan's Bluff (1968),1968
1832720,T,USA,3,Cookie's Fortune (1999),1999
1832832,T,USA,3,Cool Hand Luke (1967),1967
1832852,T,USA,2,Cool Runnings (1993),1993
1832872,T,USA,1,Cool as Ice (1991),1991
1832956,T,USA,3,Cop Land (1997),1997
1833143,T,USA,1,Cops and Robbersons (1994),1994
1833175,T,USA,3,Copycat (1995),1995
1833995,T,USA,3,"Corrina, Corrina (1994)",1994
1834154,F,other,1,Cortázar (1994),1994
1834266,T,other,2,Cosi (1996),1996
1834423,F,other,1,Costa Brava (1946),1946
1834632,T,France,3,Cotton Mary (1999),1999
1835117,T,USA,2,Country (1984),1984
1835175,T,other,3,Country Life (1994),1994
1835296,F,France,3,Coup de torchon (1981),1981
1835442,T,USA,3,Courage Under Fire (1996),1996
1835618,T,UK,2,Cousin Bette (1998),1998
1836147,T,USA,2,Coyote Ugly (2000),2000
1836375,T,USA,3,Cradle Will Rock (1999),1999
1836516,T,other,2,Crash (1996),1996
1836984,T,USA,3,Crazy in Alabama (1999),1999
1837319,T,USA,1,Creature (1999),1999
1837323,T,UK,1,Creature Comforts (1989),1989
1837340,T,USA,1,Creature from the Black Lagoon (1954),1954
1837467,T,USA,3,Creepshow (1982),1982
1837469,T,USA,1,Creepshow 2 (1987),1987
1837764,T,USA,2,Crime + Punishment in Suburbia (2000),2000
1837962,T,USA,2,Crimes and Misdemeanors (1989),1989
1837991,T,USA,2,Crimes of the Heart (1986),1986
1838092,T,USA,0,Criminals (1913),1913
1838160,T,USA,3,Crimson Tide (1995),1995
1838360,T,other,2,Critical Care (1997),1997
1838411,F,other,3,"Crna macka, beli macor (1998)",1998
1838481,T,other,2,Crocodile Dundee (1986),1986
1838568,F,other,1,Cronos (1993),1993
1838619,T,USA,3,Crooklyn (1994),1994
1838773,T,UK,3,Cross of Iron (1977),1977
1838850,T,USA,1,Crossfire (1947),1947
1839137,T,France,1,Croupier (1998),1998
1839311,T,USA,2,Cruel Intentions (1999),1999
1839442,T,USA,3,Crumb (1994),1994
1839754,T,other,2,"Cry, the Beloved Country (1995)",1995
1840524,T,other,1,Cube (1997),1997
1840882,T,USA,1,Cujo (1983),1983
1841896,T,USA,1,Curdled (1996),1996
1842301,T,other,1,Curtis's Charm (1995),1995
1842580,T,USA,2,Cutter's Way (1981),1981
1842584,T,USA,3,Cutthroat Island (1995),1995
1843039,F,France,3,Cyrano de Bergerac (1990),1990
1843756,T,USA,2,D2: The Mighty Ducks (1994),1994
1843757,T,USA,2,D3: The Mighty Ducks (1996),1996
1844312,F,other,3,Da hong deng long gao gao gua (1991),1991
1844854,T,USA,1,Daddy Long Legs (1931),1931
1844997,T,USA,1,Dadetown (1995),1995
1845075,F,other,3,Daens (1992),1992
1846390,T,USA,2,Damien: Omen II (1978),1978
1846990,T,USA,3,Dance with Me (1998),1998
1847035,T,USA,2,Dancemaker (1998),1998
1847048,T,other,3,Dancer in the Dark (2000),2000
1847051,T,USA,2,"Dancer, Texas Pop. 81 (1998)",1998
1847080,T,USA,3,Dances with Wolves (1990),1990
1847235,T,other,1,Dancing at Lughnasa (1998),1998
1847595,T,USA,3,Dangerous Beauty (1998),1998
1847692,T,USA,2,Dangerous Game (1993),1993
1847699,T,USA,1,Dangerous Ground (1997),1997
1847722,T,USA,3,Dangerous Liaisons (1988),1988
1847739,T,USA,2,Dangerous Minds (1995),1995
1848628,T,USA,2,Dante's Peak (1997),1997
1848859,T,USA,1,Darby O'Gill and the Little People (1959),1959
1849147,T,other,3,Dark City (1998),1998
1849156,T,USA,1,Dark Command (1940),1940
1850182,F,other,3,Das Boot (1981),1981
1851750,F,other,1,Das Superweib (1996),1996
1851871,F,other,3,Das Versprechen (1995),1995
1852854,T,USA,2,Date with an Angel (1987),1987
1852976,T,USA,1,Daughter of Dr. Jekyll (1957),1957
1853052,T,USA,3,Daughters of the Dust (1991),1991
1853104,T,USA,3,Dave (1993),1993
1853531,T,USA,3,Davy Crockett: King of the Wild Frontier (1955),1955
1854045,T,USA,3,Daylight (1996),1996
1854142,T,USA,1,Days of Heaven (1978),1978
1854166,T,USA,2,Days of Thunder (1990),1990
1854233,T,USA,2,Dazed and Confused (1993),1993
1854918,F,other,2,De eso no se habla (1993),1993
1856252,T,USA,2,Dead Again (1991),1991
1856325,T,other,2,Dead Calm (1989),1989
1856595,T,USA,3,Dead Man (1995),1995
1856608,T,UK,3,Dead Man Walking (1995),1995
1856613,T,USA,2,Dead Man on Campus (1998),1998
1856672,T,USA,1,Dead Men Don't Wear Plaid (1982),1982
1856727,T,USA,3,Dead Poets Society (1989),1989
1856731,T,USA,3,Dead Presidents (1995),1995
1856763,T,other,3,Dead Ringers (1988),1988
1856939,T,USA,1,Dead by Dawn (1998),1998
1857326,T,USA,1,Deadly Friend (1986),1986
1857496,T,USA,1,Deadtime Stories (1986),1986
1857769,T,USA,3,Dear God (1996),1996
1857796,T,USA,1,Dear Jesse (1998),1998
1858038,T,USA,2,Death Becomes Her (1992),1992
1858357,T,USA,1,Death Wish (1974),1974
1858361,T,USA,1,Death Wish 3 (1985),1985
1858362,T,USA,2,Death Wish 4: The Crackdown (1987),1987
1858363,T,USA,1,Death Wish II (1982),1982
1858364,T,USA,1,Death Wish V: The Face of Death (1994),1994
1858396,T,UK,2,Death and the Maiden (1994),1994
1858463,T,other,2,Death in Brunswick (1990),1990
1859092,T,USA,2,Deceiver (1997),1997
1859351,T,USA,2,Deconstructing Harry (1997),1997
1859542,T,USA,2,Deep Blue Sea (1999),1999
1859617,T,USA,3,Deep Impact (1998),1998
1859753,F,USA,2,Deep Rising (1998),1998
1860181,T,USA,3,Defending Your Life (1991),1991
1860327,T,USA,1,Defying Gravity (1997),1997
1860806,F,France,2,Delicatessen (1991),1991
1861004,T,USA,3,Deliverance (1972),1972
1861112,F,other,2,Dellamorte Dellamore (1994),1994
1861202,T,USA,2,Delta of Venus (1995),1995
1861514,T,USA,3,Demolition Man (1993),1993
1862412,T,USA,1,Denise Calls Up (1995),1995
1864055,F,other,3,Der Himmel über Berlin (1987),1987
1864846,T,other,3,Der Name der Rose (1986),1986
1866000,T,France,3,Der Unhold (1996),1996
1866391,F,other,1,Der bewegte Mann (1994),1994
1866400,F,other,3,Der blaue Engel (1930),1930
1867752,F,other,1,Dersu Uzala (1961),1961
1868310,T,USA,2,Desert Bloom (1986),1986
1868312,T,USA,1,Desert Blue (1998),1998
1868452,T,USA,2,Desert Winds (1995),1995
1868890,T,USA,2,Desperado (1995),1995
1869010,T,USA,2,Desperate Measures (1998),1998
1869092,T,USA,2,Desperately Seeking Susan (1985),1985
1869304,T,USA,1,Destination Moon (1950),1950
1869461,T,USA,2,Destiny Turns on the Radio (1995),1995
1869771,F,other,2,Det sjunde inseglet (1957),1957
1870038,T,France,2,Deterrence (1999),1999
1870132,T,USA,2,Detroit 9000 (1973),1973
1870151,T,USA,1,Detroit Rock City (1999),1999
1870221,T,USA,1,Deuce Bigalow: Male Gigolo (1999),1999
1870751,T,UK,1,Devil Girl from Mars (1954),1954
1870798,T,USA,2,Devil in a Blue Dress (1995),1995
1871727,T,USA,2,Diabolique (1996),1996
1871833,T,USA,2,Dial M for Murder (1954),1954
1872091,T,other,1,Diamonds (1999),1999
1872587,T,France,1,Dick (1999),1999
1872662,T,USA,2,Dick Tracy (1990),1990
1873263,F,other,3,Die Blechtrommel (1979),1979
1874279,T,USA,3,Die Hard (1988),1988
1874284,T,USA,3,Die Hard 2 (1990),1990
1874295,T,USA,3,Die Hard: With a Vengeance (1995),1995
1875013,F,France,3,Die Macht der Bilder: Leni Riefenstahl (1993),1993
1875764,F,other,2,Die Salzmänner von Tibet (1997),1997
1875962,F,other,1,Die Siebtelbauern (1998),1998
1876090,F,other,3,"Die Spinnen, 1. Teil - Der Goldene See (1919)",1919
1878227,F,other,1,Diebinnen (1996),1996
1878537,T,UK,2,Different for Girls (1996),1996
1878658,T,USA,1,Digging to China (1977),1977
1878669,T,USA,1,Digimon: The Movie (2000),2000
1879298,T,USA,3,Diner (1982),1982
1879358,T,other,2,Dingo (1991),1991
1879599,T,USA,1,Dinosaur (2000),2000
1879793,F,other,3,Dip huet seung hung (1989),1989
1880202,T,USA,2,Dirty Dancing (1987),1987
1880648,T,other,1,Dirty Work (1998),1998
1880846,T,USA,3,Disclosure (1994),1994
1881802,T,other,1,Disturbing Behavior (1998),1998
1881868,F,France,3,Diva (1981),1981
1883153,T,USA,3,Do the Right Thing (1989),1989
1883527,T,USA,3,Doctor Dolittle (1967),1967
1883528,T,USA,1,Doctor Dolittle (1998),1998
1883660,T,USA,3,Doctor Zhivago (1965),1965
1883995,T,USA,3,Dog Day Afternoon (1975),1975
1884087,T,other,1,Dog Park (1998),1998
1884286,T,USA,3,Dogma (1999),1999
1885039,T,USA,3,Dolores Claiborne (1995),1995
1885177,F,UK,3,Dom za vesanje (1988),1988
1885734,T,USA,2,Don Juan DeMarco (1994),1994
1886005,T,USA,1,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996
1886830,F,other,1,Dong gong xi gong (1996),1996
1887066,T,USA,3,Donnie Brasco (1997),1997
1888102,F,other,2,Dos crímenes (1995),1995
1888780,T,other,1,Double Happiness (1994),1994
1888811,T,USA,3,Double Indemnity (1944),1944
1888823,T,USA,2,Double Jeopardy (1999),1999
1889009,T,USA,1,Double Team (1997),1997
1889253,T,USA,1,Doug's 1st Movie (1999),1999
1889491,T,USA,1,Down Periscope (1996),1996
1889579,T,USA,2,Down by Law (1986),1986
1889621,T,USA,3,Down in the Delta (1998),1998
1889788,T,USA,1,Down to You (2000),2000
1889850,T,UK,2,Downhill (1927),1927
1890357,T,UK,3,Dr. No (1962),1962
1890437,T,USA,1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964
1890515,T,USA,1,Dracula (1931),1931
1890516,T,UK,1,Dracula (1958),1958
1890522,T,USA,3,Dracula (1992),1992
1890588,T,USA,1,Dracula: Dead and Loving It (1995),1995
1890829,T,USA,2,DragonHeart (1996),1996
1891484,T,USA,1,Dream Man (1991),1991
1891605,T,USA,1,Dream for an Insomniac (1996),1996
1891649,T,USA,2,Dream with the Fishes (1997),1997
1891803,T,USA,1,Dreaming of Joseph Lees (1999),1999
1892010,T,USA,2,Dreamscape (1984),1984
1892794,T,USA,1,Drive Me Crazy (1999),1999
1892991,T,USA,2,Driving Miss Daisy (1989),1989
1893207,T,USA,2,Drop Dead Fred (1991),1991
1893210,T,USA,2,Drop Dead Gorgeous (1999),1999
1893245,T,USA,2,Drop Zone (1994),1994
1893343,T,USA,2,Drowning Mona (2000),2000
1893483,T,USA,2,Drugstore Cowboy (1989),1989
1893657,T,USA,1,Drunks (1995),1995
1894338,T,USA,1,Duck Soup (1933),1933
1894453,T,USA,1,Dudley Do-Right (1999),1999
1894619,T,USA,3,Duel in the Sun (1946),1946
1894753,T,USA,3,Duets (2000),2000
1895102,T,USA,3,Dumb & Dumber (1994),1994
1895159,T,USA,1,Dumbo (1941),1941
1895286,T,USA,3,Dune (1984),1984
1895298,F,other,2,Dung che sai duk (1994),1994
1895425,T,USA,1,Dunston Checks In (1996),1996
1895463,F,other,2,Duo luo tian shi (1995),1995
1896345,T,USA,3,Dying Young (1991),1991
1896980,T,USA,3,Déjà Vu (1997),1997
1897539,F,other,3,E la nave va (1983),1983
1897778,T,USA,3,E.T. the Extra-Terrestrial (1982),1982
1898323,T,USA,1,Earth vs. the Flying Saucers (1956),1956
1898372,T,USA,3,Earthquake (1974),1974
1898449,T,UK,2,East Is East (1999),1999
1898539,T,USA,3,East of Eden (1955),1955
1898779,T,USA,1,Easy Money (1983),1983
1898814,T,USA,1,Easy Rider (1969),1969
1898834,T,UK,1,Easy Virtue (1928),1928
1898971,T,USA,1,Eaten Alive (1977),1977
1899474,F,other,2,Echte Kerle (1996),1996
1899694,T,USA,1,Ed (1996),1996
1899730,T,USA,3,Ed Wood (1994),1994
1899741,T,USA,1,Ed's Next Move (1996),1996
1899769,T,USA,2,Eddie (1996),1996
1899880,F,France,1,Eden (1982),1982
1900069,T,USA,2,Edge of Seventeen (1998),1998
1900319,T,USA,3,Edtv (1999),1999
1900465,T,USA,2,Edward Scissorhands (1990),1990
1901554,T,USA,1,Eight Days a Week (1997),1997
1903954,F,other,3,El Callejón de los Milagros (1995),1995
1904083,F,other,1,El Dorado (1963),1963
1904548,F,other,3,El abuelo (1998),1998
1904704,F,other,2,El amor brujo (1986),1986
1906242,F,other,2,El día de la bestia (1995),1995
1907821,F,USA,1,El mariachi (1992),1992
1910848,T,USA,2,Election (1999),1999
1911817,T,UK,3,Elizabeth (1998),1998
1912439,T,UK,1,Elstree Calling (1930),1930
1913354,T,UK,3,Emma (1996),1996
1913703,T,USA,2,Empire Records (1995),1995
1914108,F,France,1,En avoir (ou pas) (1995),1995
1914192,F,France,1,En compagnie d'Antonin Artaud (1993),1993
1915247,T,UK,1,Enchanted April (1991),1991
1915291,T,USA,1,Encino Man (1992),1992
1915498,T,USA,3,End of Days (1999),1999
1915861,T,USA,1,Endurance (1999),1999
1915987,T,USA,3,Enemy of the State (1998),1998
1916996,T,USA,3,Entertaining Angels: The Dorothy Day Story (1996),1996
1917129,T,USA,3,Entrapment (1999),1999
1918307,T,USA,3,Eraser (1996),1996
1918312,T,USA,1,Eraserhead (1977),1977
1918615,T,USA,3,Erin Brockovich (2000),2000
1919846,T,USA,2,Escape from L.A. (1996),1996
1919853,T,UK,2,Escape from New York (1981),1981
1919898,T,USA,2,Escape from the Planet of the Apes (1971),1971
1919947,T,USA,2,Escape to Witch Mountain (1975),1975
1920973,F,France,3,Est - Ouest (1999),1999
1921463,F,France,1,Et Dieu... créa la femme (1956),1956
1922080,F,other,2,Etz Hadomim Tafus (1994),1994
1922571,T,USA,1,European Vacation (1985),1985
1923001,T,USA,2,Eve's Bayou (1997),1997
1923072,T,USA,1,Even Cowgirls Get the Blues (1993),1993
1923165,T,UK,2,Event Horizon (1997),1997
1923244,T,USA,3,EverAfter (1998),1998
1923287,T,USA,1,Everest (1998),1998
1923531,T,other,1,Every Other Weekend (2008),2008
1923821,T,USA,2,Everyone Says I Love You (1996),1996
1923955,T,USA,3,Everything Relative (1996),1996
1923981,T,USA,1,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),1972
1924384,T,USA,3,Evita (1996),1996
1924700,T,USA,3,Excalibur (1981),1981
1924755,T,USA,2,Excess Baggage (1997),1997
1924959,T,USA,3,Executive Decision (1996),1996
1925337,T,USA,3,Exit to Eden (1994),1994
1925449,T,USA,3,Exorcist II: The Heretic (1977),1977
1925477,T,other,2,Exotica (1994),1994
1925610,T,UK,1,Experience Preferred... But Not Essential (1982),1982
1926507,T,USA,3,Extreme Measures (1996),1996
1926668,T,USA,1,Extremities (1986),1986
1926854,T,USA,2,Eye for an Eye (1996),1996
1926866,T,other,2,Eye of the Beholder (1999),1999
1927003,T,UK,3,Eyes Wide Shut (1999),1999
1927004,F,France,0,Eyes Without a Face (1960),1960
1927021,T,USA,2,Eyes of Laura Mars (1978),1978
1927338,T,USA,2,F/X (1986),1986
1927339,T,USA,2,F/X2 (1991),1991
1927950,T,USA,3,Face/Off (1997),1997
1928004,T,USA,0,Faces (1923),1923
1928609,T,USA,1,Fair Game (1995),1995
1928755,T,UK,2,FairyTale: A True Story (1997),1997
1928940,T,USA,1,Faithful (1996),1996
1929146,F,other,1,Falkens öga (1998),1998
1929151,T,USA,1,Fall (1997),1997
1929205,T,USA,2,Fall Time (1995),1995
1929262,T,USA,3,Fallen (1998),1998
1929431,T,France,3,Falling Down (1993),1993
1929514,T,USA,2,Falling in Love Again (1980),1980
1930227,T,USA,3,Family Plot (1976),1976
1930572,T,USA,1,Fandango (1985),1985
1930730,F,other,3,Fanny och Alexander (1982),1982
1930793,T,USA,3,Fantasia (1940),1940
1930810,T,USA,1,Fantasia/2000 (1999),1999
1930942,T,USA,2,Fantastic Voyage (1966),1966
1931213,T,USA,3,Far and Away (1992),1992
1931235,T,USA,1,Far from Home: The Adventures of Yellow Dog (1995),1995
1931489,T,USA,2,Fargo (1996),1996
1931497,F,France,3,Farinelli (1994),1994
1931607,T,USA,2,Farmer & Chase (1997),1997
1932160,T,USA,1,Fast Times at Ridgemont High (1982),1982
1932207,T,USA,1,"Fast, Cheap & Out of Control (1997)",1997
1932235,T,USA,1,"Faster, Pussycat! Kill! Kill! (1965)",1965
1932389,T,USA,3,Fatal Attraction (1987),1987
1932393,T,USA,2,Fatal Beauty (1987),1987
1932451,T,USA,1,Fatal Instinct (1993),1993
1932817,T,USA,1,Father of the Bride (1950),1950
1932819,T,USA,2,Father of the Bride Part II (1995),1995
1932958,T,USA,2,Fathers' Day (1997),1997
1933191,F,other,2,Faust (1994),1994
1933254,F,France,1,Fausto (1993),1993
1933459,T,USA,2,Fear (1996),1996
1933552,T,USA,3,Fear and Loathing in Las Vegas (1998),1998
1933599,T,USA,1,Fear of a Black Hat (1993),1993
1933633,T,USA,3,Fearless (1993),1993
1933702,T,USA,3,Feast of July (1995),1995
1933830,T,USA,2,Federal Hill (1994),1994
1934075,T,USA,2,Feeling Minnesota (1996),1996
1934260,F,other,2,Fei ying gai wak (1991),1991
1934406,T,other,3,Felicia's Journey (1999),1999
1934787,T,other,3,Female Perversions (1996),1996
1935106,F,other,3,Feng yue (1996),1996
1935417,T,USA,2,Ferris Bueller's Day Off (1986),1986
1935619,F,other,2,Festen (1998),1998
1936069,T,UK,2,Fever Pitch (1997),1997
1936394,T,USA,2,Field of Dreams (1989),1989
1936478,T,UK,1,Fierce Creatures (1997),1997
1936800,T,USA,3,Fight Club (1999),1999
1938005,F,France,3,"Fin août, début septembre (1998)",1998
1938142,T,USA,2,Final Destination (2000),2000
1938743,T,USA,1,Finding North (1998),1998
1939369,T,USA,2,Fire Down Below (1997),1997
1939525,T,USA,1,Fire on the Mountain (1996),1996
1939666,T,UK,2,Firelight (1997),1997
1939754,T,USA,3,Firestarter (1984),1984
1939762,T,USA,1,Firestorm (1998),1998
1939775,T,USA,2,Firewalker (1986),1986
1939900,T,USA,1,First Blood (1982),1982
1940096,T,USA,2,First Kid (1996),1996
1940121,T,USA,3,First Knight (1995),1995
1940174,T,USA,1,"First Love, Last Rites (1997)",1997
1941011,F,other,3,Fitzcarraldo (1982),1982
1941100,T,USA,2,Five Easy Pieces (1970),1970
1941271,T,USA,1,"Five Wives, Three Secretaries and Me (1998)",1998
1941902,T,USA,1,Flashdance (1983),1983
1942017,T,USA,3,Flatliners (1990),1990
1942058,T,USA,3,Flawless (1999),1999
1942083,T,USA,2,Fled (1996),1996
1942223,T,USA,3,Flesh and Bone (1993),1993
1942296,T,USA,2,Fletch (1985),1985
1942299,T,USA,1,Fletch Lives (1989),1989
1942625,T,USA,1,Flight of the Navigator (1986),1986
1942758,T,USA,1,Flipper (1996),1996
1942787,T,USA,1,Flirt (1995),1995
1942828,T,USA,1,Flirting with Disaster (1996),1996
1942898,T,USA,1,Floating (1997),1997
1943470,T,USA,1,Flubber (1997),1997
1943586,T,USA,2,Fluke (1995),1995
1943718,T,USA,2,Fly Away Home (1996),1996
1943961,T,USA,2,Flying Tigers (1942),1942
1944457,T,USA,0,Follow the Bitch (1996),1996
1944510,T,UK,1,Following (1998),1998
1944862,T,USA,1,Foolish (1999),1999
1944905,T,USA,2,Fools Rush In (1997),1997
1945150,T,USA,2,Footloose (1984),1984
1945248,T,USA,1,For All Mankind (1989),1989
1945371,F,France,1,For Ever Mozart (1996),1996
1945579,T,USA,3,For Love of the Game (1999),1999
1945589,T,USA,2,For Love or Money (1993),1993
1945700,T,USA,3,For Richer or Poorer (1997),1997
1945816,T,USA,3,For Whom the Bell Tolls (1943),1943
1945855,T,UK,3,For Your Eyes Only (1981),1981
1946023,T,USA,1,For the Love of Benji (1977),1977
1946107,T,other,3,For the Moment (1993),1993
1946327,T,USA,2,Forbidden Planet (1956),1956
1946379,T,UK,3,Force 10 from Navarone (1978),1978
1946397,T,USA,1,Force of Evil (1948),1948
1946463,T,USA,2,Forces of Nature (1999),1999
1946562,T,USA,3,Foreign Correspondent (1940),1940
1946595,T,other,1,Foreign Student (1994),1994
1946833,T,USA,2,Forever Young (1992),1992
1946963,T,USA,2,Forget Paris (1995),1995
1947355,T,USA,3,Forrest Gump (1994),1994
1948277,T,USA,2,Four Rooms (1995),1995
1948340,T,UK,3,Four Weddings and a Funeral (1994),1994
1948561,T,USA,2,Foxfire (1996),1996
1949144,T,USA,3,Frances (1982),1982
1949444,T,USA,1,Frank and Ollie (1995),1995
1949502,T,USA,1,Frankenstein (1931),1931
1949508,T,USA,3,Frankenstein (1994),1994
1949526,T,USA,1,Frankenstein Meets the Wolf Man (1943),1943
1949624,T,France,2,Frankie Starlight (1995),1995
1950286,T,USA,1,Freaky Friday (1976),1976
1950466,T,USA,2,Freddy's Dead: The Final Nightmare (1991),1991
1950577,T,USA,3,Free Enterprise (1998),1998
1950688,T,USA,3,Free Willy (1993),1993
1950689,T,France,1,Free Willy 2: The Adventure Home (1995),1995
1950690,T,USA,1,Free Willy 3: The Rescue (1997),1997
1950946,T,USA,3,Freejack (1992),1992
1951003,T,USA,3,Freeway (1996),1996
1951279,T,UK,3,French Kiss (1995),1995
1951390,T,UK,3,Frenzy (1972),1972
1951397,T,USA,3,Frequency (2000),2000
1951417,F,other,2,Fresa y chocolate (1993),1993
1951428,T,USA,3,Fresh (1994),1994
1951931,T,USA,2,Friday (1995),1995
1951984,T,USA,1,Friday the 13th (1980),1980
1951988,T,USA,1,Friday the 13th Part 2 (1981),1981
